input,bandwidth
1024,6
1024,6
1024,6
1024,6
1024,6
221184,1179
221184,1179
221184,1179
221184,1179
221184,1179
1000000,2133
1000000,2133
1000000,2133
1000000,2133
1000000,2909
10000000,4776
10000000,4776
10000000,4776
10000000,4776
10000000,4776
100003565,5263
100003565,5263
100003565,5263
100003565,5263
100003565,5263
1024,10
1024,10
1024,10
1024,10
1024,10
221184,2359
221184,2359
221184,2359
221184,2359
221184,2359
1000000,4000
1000000,4000
1000000,4000
1000000,4000
1000000,4000
10000000,4776
10000000,4776
10000000,4776
10000000,4776
10000000,4776
100003565,5263
100003565,5263
100003565,5263
100003565,5263
100003565,5254
