input,bandwidth
1024,6
1024,6
1024,6
1024,6
1024,6
221184,1179
221184,1415
221184,1415
221184,1415
221184,1415
1000000,2285
1000000,2285
1000000,2285
1000000,2285
1000000,2285
10000000,4324
10000000,4637
10000000,4637
10000000,4637
10000000,4571
100003565,5263
100003565,5263
100003565,5263
100003565,5263
100003565,5263
1024,10
1024,10
1024,10
1024,10
1024,10
221184,1769
221184,2359
221184,2359
221184,2359
221184,2359
1000000,4000
1000000,4000
1000000,4000
1000000,4000
1000000,4000
10000000,4776
10000000,4776
10000000,4776
10000000,4776
10000000,4776
100003565,5263
100003565,5263
100003565,5263
100003565,5263
100003565,5254
