kernel,input,block,chunk,bandwidth
2,1024,64,12,0
2,1024,128,12,0
2,1024,256,12,0
2,1024,512,12,0
2,1024,1024,12,-1
2,221184,64,12,51
2,221184,128,12,73
2,221184,256,12,106
2,221184,512,12,126
2,221184,1024,12,-1
2,1000000,64,12,110
2,1000000,128,12,166
2,1000000,256,12,244
2,1000000,512,12,324
2,1000000,1024,12,-1
2,10000000,64,12,174
2,10000000,128,12,303
2,10000000,256,12,478
2,10000000,512,12,621
2,10000000,1024,12,-1
2,100003565,64,12,267
2,100003565,128,12,404
2,100003565,256,12,663
2,100003565,512,12,910
2,100003565,1024,12,-1
3,1024,64,12,1
3,1024,128,12,1
3,1024,256,12,1
3,1024,512,12,1
3,1024,1024,12,-1
3,221184,64,12,139
3,221184,128,12,176
3,221184,256,12,221
3,221184,512,12,241
3,221184,1024,12,-1
3,1000000,64,12,333
3,1000000,128,12,428
3,1000000,256,12,521
3,1000000,512,12,631
3,1000000,1024,12,-1
3,10000000,64,12,535
3,10000000,128,12,710
3,10000000,256,12,902
3,10000000,512,12,1111
3,10000000,1024,12,-1
3,100003565,64,12,434
3,100003565,128,12,751
3,100003565,256,12,981
3,100003565,512,12,1291
3,100003565,1024,12,-1
